2,0,3,2,781.011,778.592,,779.8015
0,0,3,2,798.544,788.086,,793.315
2,1,3,3,791.585,812.662,,802.1235
0,1,3,4,808.031,800.62,,804.3255
0,4,3,4,806.551,802.585,,804.568
2,1,3,4,817.026,794.186,,805.606
2,2,3,3,806.733,804.889,,805.811
3,0,3,3,803.581,809.155,805.651,806.129
3,4,3,4,813.789,806.106,,809.9475
0,2,3,4,806.733,813.997,,810.365
3,4,3,3,812.163,809.036,,810.5995
2,4,3,4,786.313,834.91,,810.6115
2,2,3,4,826.222,797.013,,811.6175
0,2,3,3,822.875,802.63,,812.7525
2,3,3,3,824.235,806.609,,815.422
0,4,3,3,806.616,825.388,,816.002
0,0,3,4,804.984,828.222,,816.603
2,4,3,3,824.807,813.088,,818.9475
3,0,3,2,893.645,785.72,779.208,819.5243333
3,0,3,4,794.375,838.901,825.299,819.525
3,1,3,3,802.557,838.987,,820.772
1,0,3,3,820.893,825.094,,822.9935
1,3,3,3,815.691,833.929,,824.81
1,3,3,4,823.561,826.832,,825.1965
2,0,3,4,793.905,856.665,,825.285
0,0,3,3,825.654,825.318,,825.486
2,0,3,3,838.071,813.411,,825.741
0,1,3,3,811.695,850.033,,830.864
1,2,3,4,828.172,838.57,,833.371
1,1,3,4,827.118,842.605,,834.8615
1,2,3,3,845.105,828.68,,836.8925
3,1,3,4,831.151,844.985,,838.068
1,4,3,4,820.752,858.301,,839.5265
1,2,5,4,838.941,851.724,,845.3325
1,1,3,3,858.692,847.887,,853.2895
2,3,3,4,857.346,850.31,,853.828
1,4,3,3,849.153,867.853,,858.503
3,2,3,3,909.511,814.292,,861.9015
2,2,5,4,893.962,832.177,,863.0695
1,0,3,4,874.525,853.21,,863.8675
1,2,5,3,907.873,834.743,,871.308
3,2,3,4,942.786,804.056,,873.421
2,4,5,4,846.546,916.499,,881.5225
0,2,5,4,937.236,831.133,,884.1845
0,2,5,3,942.815,829.071,,885.943
0,2,2,3,928.422,845.509,,886.9655
2,2,5,3,972.136,804.299,,888.2175
2,2,2,4,914.598,874.019,,894.3085
0,4,5,4,885.974,903.106,,894.54
2,2,0,4,950.621,840.202,,895.4115
