2,0,3,2,598.271,599.134,602.687,604.907,601.24975
0,0,3,2,589.348,599.21,609.922,614.946,603.3565
2,2,3,3,598.271,600.242,602.975,618.527,605.00375
0,2,3,3,596.133,601.951,608.563,613.415,605.0155
3,1,3,3,592.396,592.816,616.73,621.898,605.96
2,0,3,4,599.861,600.156,604.272,620.692,606.24525
2,4,3,2,597.617,599.32,605.188,624.316,606.61025
0,1,3,3,596.459,601.867,614.047,616.329,607.1755
2,2,3,4,599.833,602.584,606.557,620.638,607.403
0,4,3,3,599.21,605.324,609.508,616.262,607.576
3,4,3,3,598.034,605.133,622.049,,608.4053333
0,2,2,4,599.389,604.908,611.699,618.635,608.65775
3,0,3,3,600.874,604.872,615.219,616.067,609.258
0,1,3,4,600.963,603.087,612.557,621.787,609.5985
3,1,3,4,602.74,606.536,612.859,617.591,609.9315
3,0,3,2,594.569,604.23,606.127,635.319,610.06125
0,3,3,3,605.118,608.31,609.381,619.948,610.68925
0,4,3,4,599.21,604.034,606.157,633.452,610.71325
0,2,3,4,598.728,609.89,611.308,624.109,611.00875
2,4,3,4,599.539,609.503,618.596,620.473,612.02775
2,1,3,3,599.375,604.166,609.614,636.644,612.44975
2,3,3,4,604.365,613.67,615.131,616.85,612.504
0,0,3,4,604.939,607.254,618.798,620.625,612.904
0,2,5,3,606.842,613.877,613.946,618.219,613.221
2,2,5,3,604.142,613.477,615.297,621.967,613.72075
2,1,3,4,602.746,604.072,616.282,632.994,614.0235
2,1,3,2,593.637,598.566,631.682,632.379,614.066
0,2,5,4,602.687,610.741,612.412,630.469,614.07725
2,2,2,3,600.67,601.988,625.786,629.639,614.52075
1,2,3,4,591.344,619.876,619.991,628.658,614.96725
2,0,3,3,607.681,608.747,616.398,627.521,615.08675
1,0,3,2,603.194,608.815,614.726,634.319,615.2635
2,4,3,3,609.376,609.585,622.572,622.683,616.054
3,4,3,4,601.47,612.88,635.189,,616.513
1,0,3,3,612.802,613.304,618.054,622.797,616.73925
2,1,5,4,601.884,603.688,604.209,657.667,616.862
2,2,5,4,607.993,608.936,624.586,628.939,617.6135
2,3,3,3,600.993,613.574,622.738,634.642,617.98675
1,2,2,4,599.945,603.427,611.639,663.481,619.623
3,2,3,3,589.348,601.948,640.214,647.506,619.754
0,2,0,3,610.526,618.753,626.432,627.065,620.694
1,3,3,4,604.077,624.145,627.046,629.664,621.233
0,0,3,3,613.247,614.264,626.418,631.232,621.29025
0,4,5,4,605.027,612.209,614.159,653.926,621.33025
0,3,3,4,612.485,617.137,626.454,629.475,621.38775
3,3,3,3,591.123,602.677,634.715,659.703,622.0545
1,2,3,3,611.915,617.978,626.84,632,622.18325
0,0,4,4,600.882,621.904,626.915,644.096,623.44925
0,2,2,3,608.487,610.373,636.213,639.265,623.5845
0,2,0,4,610.819,614.566,626.681,643.247,623.82825
2,2,2,4,605.673,618.392,625.217,646.076,623.8395
1,2,5,3,604.907,624.082,625.346,645.513,624.962
3,0,3,4,601.922,629.897,633.748,635.15,625.17925
1,2,5,4,607.164,609.527,635.991,652.789,626.36775
2,0,4,4,595.715,628.053,633.502,649.938,626.802
1,4,3,3,606.06,616.555,640.699,647.044,627.5895
2,2,0,3,617.077,626.867,630.637,635.971,627.638
2,0,4,3,598.535,624.871,625.282,662.459,627.78675
2,2,0,4,609.052,609.29,635.962,657.154,627.8645
2,4,5,4,611.395,628.524,630.529,642.446,628.2235
1,0,3,4,609.666,619.354,623.564,661.3,628.471
0,4,5,3,600.914,611.045,646.691,657.793,629.11075
0,1,5,4,620.235,631.171,631.591,635.425,629.6055
1,1,4,4,616.71,620.227,621.999,665.235,631.04275
1,4,3,4,619.792,621.352,638.823,646.859,631.7065
0,1,4,4,613.759,619.526,634.891,667.068,633.811
3,2,3,4,601.056,608.346,665.561,666.891,635.4635
1,3,3,3,617.62,629.417,633.498,662.916,635.86275
1,4,5,4,610.139,635.223,650.771,652.707,637.21
2,0,5,2,609.879,631.412,641.153,667.27,637.4285
2,4,5,3,614.952,617.403,635.394,688.568,639.07925
1,2,0,3,602.269,629.18,660.305,664.72,639.1185
1,1,3,3,625.304,628.607,635.2,669.558,639.66725
