0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
0 1 2 10 3 4 7 9 5 6 8 : 345.875
0 8 6 5 9 7 4 3 10 2 1 : 345.875
